settlement_line_id,settlement_id,source_event_id,source_event_type,payment_id,amount,fee,tax,net_amount,currency,event_timestamp,settlement_timestamp,provider
line_base_00047,setl_base_0003,pay_base_0140,PAYMENT,pay_base_0140,1263500,25270,4548,1233682,INR,2026-08-29T09:03:14,2026-08-10T09:00:00,razorpay
line_base_00048,setl_base_0003,rfnd_base_0006,REFUND,pay_base_0025,1031400,0,0,-1031400,INR,2026-08-07T18:19:33,2026-08-10T09:00:00,razorpay
line_base_00049,setl_base_0003,rfnd_base_0010,REFUND,pay_base_0033,906650,0,0,-906650,INR,2026-08-08T10:41:46,2026-08-10T09:00:00,razorpay
line_base_00050,setl_base_0003,adj_base_0007,ADJUSTMENT,,21500,0,0,21500,INR,2026-08-10T09:00:00,2026-08-10T09:00:00,razorpay
line_base_00051,setl_base_0004,pay_base_0004,PAYMENT,pay_base_0004,1481900,29638,5334,1446928,INR,2026-08-02T04:15:46,2026-08-13T09:00:00,razorpay
line_base_00052,setl_base_0004,pay_base_0015,PAYMENT,pay_base_0015,728600,14572,2622,711406,INR,2026-08-04T09:02:09,2026-08-13T09:00:00,razorpay
line_base_00053,setl_base_0004,pay_base_0025,PAYMENT,pay_base_0025,1031400,20628,3713,1007059,INR,2026-08-06T09:04:33,2026-08-13T09:00:00,razorpay
line_base_00054,setl_base_0004,pay_base_0035,PAYMENT,pay_base_0035,879000,17580,3164,858256,INR,2026-08-08T09:04:55,2026-08-13T09:00:00,razorpay
line_base_00055,setl_base_0004,pay_base_0046,PAYMENT,pay_base_0046,876600,17532,3155,855913,INR,2026-08-10T13:51:07,2026-08-13T09:00:00,razorpay
line_base_00056,setl_base_0004,pay_base_0056,PAYMENT,pay_base_0056,663900,13278,2390,648232,INR,2026-08-12T13:50:45,2026-08-13T09:00:00,razorpay
line_base_00057,setl_base_0004,pay_base_0067,PAYMENT,pay_base_0067,2421500,48430,8717,2364353,INR,2026-08-14T18:39:18,2026-08-13T09:00:00,razorpay
line_base_00058,setl_base_0004,pay_base_0077,PAYMENT,pay_base_0077,214000,4280,770,208950,INR,2026-08-16T18:40:19,2026-08-13T09:00:00,razorpay
line_base_00059,setl_base_0004,pay_base_0088,PAYMENT,pay_base_0088,2229500,44590,8026,2176884,INR,2026-08-18T23:26:20,2026-08-13T09:00:00,razorpay
line_base_00060,setl_base_0004,pay_base_0098,PAYMENT,pay_base_0098,1570000,31400,5652,1532948,INR,2026-08-20T23:28:46,2026-08-13T09:00:00,razorpay
line_base_00061,setl_base_0004,pay_base_0110,PAYMENT,pay_base_0110,2174000,43480,7826,2122694,INR,2026-08-23T09:04:32,2026-08-13T09:00:00,razorpay
line_base_00062,setl_base_0004,pay_base_0120,PAYMENT,pay_base_0120,1150100,23002,4140,1122958,INR,2026-08-25T09:05:06,2026-08-13T09:00:00,razorpay
line_base_00063,setl_base_0004,pay_base_0131,PAYMENT,pay_base_0131,792500,15850,2853,773797,INR,2026-08-27T13:53:22,2026-08-13T09:00:00,razorpay
line_base_00064,setl_base_0004,pay_base_0141,PAYMENT,pay_base_0141,846600,16932,3047,826621,INR,2026-08-29T13:49:59,2026-08-13T09:00:00,razorpay
line_base_00065,setl_base_0004,rfnd_base_0002,REFUND,pay_base_0039,979900,0,0,-979900,INR,2026-08-10T17:28:34,2026-08-13T09:00:00,razorpay
line_base_00066,setl_base_0004,rfnd_base_0015,REFUND,pay_base_0029,1881100,0,0,-1881100,INR,2026-08-08T07:29:06,2026-08-13T09:00:00,razorpay
line_base_00067,setl_base_0004,adj_base_0005,ADJUSTMENT,,6300,0,0,6300,INR,2026-08-13T09:00:00,2026-08-13T09:00:00,razorpay
line_base_00068,setl_base_0005,pay_base_0005,PAYMENT,pay_base_0005,519400,10388,1869,507143,INR,2026-08-02T09:04:32,2026-08-16T09:00:00,razorpay
line_base_00069,setl_base_0005,pay_base_0016,PAYMENT,pay_base_0016,164300,3286,591,160423,INR,2026-08-04T13:52:49,2026-08-16T09:00:00,razorpay
line_base_00070,setl_base_0005,pay_base_0026,PAYMENT,pay_base_0026,822300,16446,2960,802894,INR,2026-08-06T13:50:27,2026-08-16T09:00:00,razorpay
line_base_00071,setl_base_0005,pay_base_0036,PAYMENT,pay_base_0036,2403700,48074,8653,2346973,INR,2026-08-08T13:52:53,2026-08-16T09:00:00,razorpay
line_base_00072,setl_base_0005,pay_base_0047,PAYMENT,pay_base_0047,1133500,22670,4080,1106750,INR,2026-08-10T18:37:06,2026-08-16T09:00:00,razorpay
line_base_00073,setl_base_0005,pay_base_0057,PAYMENT,pay_base_0057,87500,1750,315,85435,INR,2026-08-12T18:39:19,2026-08-16T09:00:00,razorpay
line_base_00074,setl_base_0005,pay_base_0068,PAYMENT,pay_base_0068,1027100,20542,3697,1002861,INR,2026-08-14T23:25:41,2026-08-16T09:00:00,razorpay
line_base_00075,setl_base_0005,pay_base_0078,PAYMENT,pay_base_0078,29300,586,105,28609,INR,2026-08-16T23:28:43,2026-08-16T09:00:00,razorpay
line_base_00076,setl_base_0005,pay_base_0089,PAYMENT,pay_base_0089,1950100,39002,7020,1904078,INR,2026-08-19T04:14:26,2026-08-16T09:00:00,razorpay
line_base_00077,setl_base_0005,pay_base_0099,PAYMENT,pay_base_0099,807200,16144,2905,788151,INR,2026-08-21T04:16:59,2026-08-16T09:00:00,razorpay
line_base_00078,setl_base_0005,pay_base_0111,PAYMENT,pay_base_0111,2268900,45378,8168,2215354,INR,2026-08-23T13:52:31,2026-08-16T09:00:00,razorpay
line_base_00079,setl_base_0005,pay_base_0121,PAYMENT,pay_base_0121,2181100,43622,7851,2129627,INR,2026-08-25T13:49:22,2026-08-16T09:00:00,razorpay
line_base_00080,setl_base_0005,pay_base_0132,PAYMENT,pay_base_0132,1259200,25184,4533,1229483,INR,2026-08-27T18:41:29,2026-08-16T09:00:00,razorpay
line_base_00081,setl_base_0005,pay_base_0143,PAYMENT,pay_base_0143,2272000,45440,8179,2218381,INR,2026-08-29T23:25:44,2026-08-16T09:00:00,razorpay
line_base_00082,setl_base_0005,rfnd_base_0003,REFUND,pay_base_0061,949650,0,0,-949650,INR,2026-08-15T08:05:38,2026-08-16T09:00:00,razorpay
line_base_00083,setl_base_0005,adj_base_0008,ADJUSTMENT,,7600,0,0,7600,INR,2026-08-15T09:00:00,2026-08-16T09:00:00,razorpay
line_base_00084,setl_base_0006,pay_base_0006,PAYMENT,pay_base_0006,1137000,22740,4093,1110167,INR,2026-08-02T13:51:53,2026-08-19T09:00:00,razorpay
line_base_00085,setl_base_0006,pay_base_0017,PAYMENT,pay_base_0017,218100,4362,785,212953,INR,2026-08-04T18:38:16,2026-08-19T09:00:00,razorpay
line_base_00086,setl_base_0006,pay_base_0027,PAYMENT,pay_base_0027,242600,4852,873,236875,INR,2026-08-06T18:37:46,2026-08-19T09:00:00,razorpay
line_base_00087,setl_base_0006,pay_base_0038,PAYMENT,pay_base_0038,197300,3946,710,192644,INR,2026-08-08T23:26:14,2026-08-19T09:00:00,razorpay
line_base_00088,setl_base_0006,pay_base_0048,PAYMENT,pay_base_0048,2088400,41768,7518,2039114,INR,2026-08-10T23:26:59,2026-08-19T09:00:00,razorpay
line_base_00089,setl_base_0006,pay_base_0058,PAYMENT,pay_base_0058,2112000,42240,7603,2062157,INR,2026-08-12T23:25:50,2026-08-19T09:00:00,razorpay
line_base_00090,setl_base_0006,pay_base_0069,PAYMENT,pay_base_0069,1368000,27360,4924,1335716,INR,2026-08-15T04:16:22,2026-08-19T09:00:00,razorpay
line_base_00091,setl_base_0006,pay_base_0079,PAYMENT,pay_base_0079,2459400,49188,8853,2401359,INR,2026-08-17T04:16:58,2026-08-19T09:00:00,razorpay
line_base_00092,setl_base_0006,pay_base_0090,PAYMENT,pay_base_0090,1864400,37288,6711,1820401,INR,2026-08-19T09:03:48,2026-08-19T09:00:00,razorpay
line_base_00093,setl_base_0006,pay_base_0100,PAYMENT,pay_base_0100,1813500,36270,6528,1770702,INR,2026-08-21T09:02:22,2026-08-19T09:00:00,razorpay
line_base_00094,setl_base_0006,pay_base_0112,PAYMENT,pay_base_0112,2262400,45248,8144,2209008,INR,2026-08-23T18:38:43,2026-08-19T09:00:00,razorpay
line_base_00095,setl_base_0006,pay_base_0122,PAYMENT,pay_base_0122,298500,5970,1074,291456,INR,2026-08-25T18:40:57,2026-08-19T09:00:00,razorpay
line_base_00096,setl_base_0006,pay_base_0133,PAYMENT,pay_base_0133,1097800,21956,3952,1071892,INR,2026-08-27T23:25:59,2026-08-19T09:00:00,razorpay
line_base_00097,setl_base_0006,pay_base_0144,PAYMENT,pay_base_0144,1259600,25192,4534,1229874,INR,2026-08-30T04:16:14,2026-08-19T09:00:00,razorpay
line_base_00098,setl_base_0006,rfnd_base_0008,REFUND,pay_base_0071,2290300,0,0,-2290300,INR,2026-08-17T10:08:14,2026-08-19T09:00:00,razorpay
line_base_00099,setl_base_0007,pay_base_0007,PAYMENT,pay_base_0007,1818900,36378,6548,1775974,INR,2026-08-02T18:37:12,2026-08-22T09:00:00,razorpay
line_base_00100,setl_base_0007,pay_base_0018,PAYMENT,pay_base_0018,1769500,35390,6370,1727740,INR,2026-08-04T23:25:50,2026-08-22T09:00:00,razorpay
line_base_00101,setl_base_0007,pay_base_0028,PAYMENT,pay_base_0028,1092700,21854,3933,1066913,INR,2026-08-06T23:26:28,2026-08-22T09:00:00,razorpay
line_base_00102,setl_base_0007,pay_base_0039,PAYMENT,pay_base_0039,1959800,39196,7055,1913549,INR,2026-08-09T04:13:34,2026-08-22T09:00:00,razorpay
line_base_00103,setl_base_0007,pay_base_0049,PAYMENT,pay_base_0049,2438800,48776,8779,2381245,INR,2026-08-11T04:14:25,2026-08-22T09:00:00,razorpay
line_base_00104,setl_base_0007,pay_base_0060,PAYMENT,pay_base_0060,2397200,47944,8629,2340627,INR,2026-08-13T09:01:58,2026-08-22T09:00:00,razorpay
line_base_00105,setl_base_0007,pay_base_0070,PAYMENT,pay_base_0070,1319500,26390,4750,1288360,INR,2026-08-15T09:02:38,2026-08-22T09:00:00,razorpay
line_base_00106,setl_base_0007,pay_base_0080,PAYMENT,pay_base_0080,904300,18086,3255,882959,INR,2026-08-17T09:04:42,2026-08-22T09:00:00,razorpay
line_base_00107,setl_base_0007,pay_base_0091,PAYMENT,pay_base_0091,1667900,33358,6004,1628538,INR,2026-08-19T13:52:20,2026-08-22T09:00:00,razorpay
line_base_00108,setl_base_0007,pay_base_0101,PAYMENT,pay_base_0101,641000,12820,2307,625873,INR,2026-08-21T13:52:59,2026-08-22T09:00:00,razorpay
line_base_00109,setl_base_0007,pay_base_0113,PAYMENT,pay_base_0113,386000,7720,1389,376891,INR,2026-08-23T23:26:49,2026-08-22T09:00:00,razorpay
line_base_00110,setl_base_0007,pay_base_0123,PAYMENT,pay_base_0123,187600,3752,675,183173,INR,2026-08-25T23:26:36,2026-08-22T09:00:00,razorpay
line_base_00111,setl_base_0007,pay_base_0134,PAYMENT,pay_base_0134,1507200,30144,5425,1471631,INR,2026-08-28T04:15:11,2026-08-22T09:00:00,razorpay
line_base_00112,setl_base_0007,pay_base_0145,PAYMENT,pay_base_0145,36500,730,131,35639,INR,2026-08-30T09:05:42,2026-08-22T09:00:00,razorpay
line_base_00113,setl_base_0007,rfnd_base_0005,REFUND,pay_base_0098,1570000,0,0,-1570000,INR,2026-08-21T03:43:46,2026-08-22T09:00:00,razorpay
line_base_00114,setl_base_0007,rfnd_base_0012,REFUND,pay_base_0099,403600,0,0,-403600,INR,2026-08-21T23:31:59,2026-08-22T09:00:00,razorpay
line_base_00115,setl_base_0007,adj_base_0001,ADJUSTMENT,,12500,0,0,-12500,INR,2026-08-21T09:00:00,2026-08-22T09:00:00,razorpay
line_base_00116,setl_base_0008,pay_base_0008,PAYMENT,pay_base_0008,2176800,43536,7836,2125428,INR,2026-08-02T23:28:06,2026-08-25T09:00:00,razorpay
line_base_00117,setl_base_0008,pay_base_0019,PAYMENT,pay_base_0019,1434600,28692,5164,1400744,INR,2026-08-05T04:14:38,2026-08-25T09:00:00,razorpay
line_base_00118,setl_base_0008,pay_base_0029,PAYMENT,pay_base_0029,1881100,37622,6771,1836707,INR,2026-08-07T04:14:06,2026-08-25T09:00:00,razorpay
line_base_00119,setl_base_0008,pay_base_0040,PAYMENT,pay_base_0040,278600,5572,1002,272026,INR,2026-08-09T09:03:01,2026-08-25T09:00:00,razorpay
line_base_00120,setl_base_0008,pay_base_0050,PAYMENT,pay_base_0050,128000,2560,460,124980,INR,2026-08-11T09:04:23,2026-08-25T09:00:00,razorpay
line_base_00121,setl_base_0008,pay_base_0061,PAYMENT,pay_base_0061,1899300,37986,6837,1854477,INR,2026-08-13T13:50:38,2026-08-25T09:00:00,razorpay
line_base_00122,setl_base_0008,pay_base_0071,PAYMENT,pay_base_0071,2290300,45806,8245,2236249,INR,2026-08-15T13:53:14,2026-08-25T09:00:00,razorpay
line_base_00123,setl_base_0008,pay_base_0081,PAYMENT,pay_base_0081,2049000,40980,7376,2000644,INR,2026-08-17T13:49:58,2026-08-25T09:00:00,razorpay
line_base_00124,setl_base_0008,pay_base_0092,PAYMENT,pay_base_0092,1516400,30328,5459,1480613,INR,2026-08-19T18:41:43,2026-08-25T09:00:00,razorpay
line_base_00125,setl_base_0008,pay_base_0102,PAYMENT,pay_base_0102,2384300,47686,8583,2328031,INR,2026-08-21T18:38:32,2026-08-25T09:00:00,razorpay
line_base_00126,setl_base_0008,pay_base_0114,PAYMENT,pay_base_0114,1017900,20358,3664,993878,INR,2026-08-24T04:15:54,2026-08-25T09:00:00,razorpay
line_base_00127,setl_base_0008,pay_base_0124,PAYMENT,pay_base_0124,1809600,36192,6514,1766894,INR,2026-08-26T04:15:22,2026-08-25T09:00:00,razorpay
line_base_00128,setl_base_0008,pay_base_0135,PAYMENT,pay_base_0135,2052200,41044,7387,2003769,INR,2026-08-28T09:05:39,2026-08-25T09:00:00,razorpay
line_base_00129,setl_base_0008,pay_base_0146,PAYMENT,pay_base_0146,947800,18956,3412,925432,INR,2026-08-30T13:51:07,2026-08-25T09:00:00,razorpay
line_base_00130,setl_base_0008,rfnd_base_0004,REFUND,pay_base_0107,411600,0,0,-411600,INR,2026-08-23T15:54:19,2026-08-25T09:00:00,razorpay
line_base_00131,setl_base_0008,rfnd_base_0013,REFUND,pay_base_0102,2384300,0,0,-2384300,INR,2026-08-23T00:53:32,2026-08-25T09:00:00,razorpay
line_base_00132,setl_base_0008,adj_base_0006,ADJUSTMENT,,45400,0,0,-45400,INR,2026-08-20T09:00:00,2026-08-25T09:00:00,razorpay
line_base_00133,setl_base_0009,pay_base_0009,PAYMENT,pay_base_0009,1495700,29914,5384,1460402,INR,2026-08-03T04:15:35,2026-08-28T09:00:00,razorpay
line_base_00134,setl_base_0009,pay_base_0020,PAYMENT,pay_base_0020,358600,7172,1290,350138,INR,2026-08-05T09:05:32,2026-08-28T09:00:00,razorpay
line_base_00135,setl_base_0009,pay_base_0030,PAYMENT,pay_base_0030,1422400,28448,5120,1388832,INR,2026-08-07T09:01:28,2026-08-28T09:00:00,razorpay
line_base_00136,setl_base_0009,pay_base_0041,PAYMENT,pay_base_0041,2356800,47136,8484,2301180,INR,2026-08-09T13:49:12,2026-08-28T09:00:00,razorpay
line_base_00137,setl_base_0009,pay_base_0051,PAYMENT,pay_base_0051,147000,2940,529,143531,INR,2026-08-11T13:51:24,2026-08-28T09:00:00,razorpay
line_base_00138,setl_base_0009,pay_base_0062,PAYMENT,pay_base_0062,1423200,28464,5123,1389613,INR,2026-08-13T18:38:24,2026-08-28T09:00:00,razorpay
line_base_00139,setl_base_0009,pay_base_0072,PAYMENT,pay_base_0072,1750400,35008,6301,1709091,INR,2026-08-15T18:41:20,2026-08-28T09:00:00,razorpay
line_base_00140,setl_base_0009,pay_base_0082,PAYMENT,pay_base_0082,1414400,28288,5091,1381021,INR,2026-08-17T18:38:52,2026-08-28T09:00:00,razorpay
line_base_00141,setl_base_0009,pay_base_0093,PAYMENT,pay_base_0093,895000,17900,3222,873878,INR,2026-08-19T23:27:12,2026-08-28T09:00:00,razorpay
line_base_00142,setl_base_0009,pay_base_0103,PAYMENT,pay_base_0103,755400,15108,2719,737573,INR,2026-08-21T23:25:01,2026-08-28T09:00:00,razorpay
line_base_00143,setl_base_0009,pay_base_0115,PAYMENT,pay_base_0115,1328900,26578,4784,1297538,INR,2026-08-24T09:04:24,2026-08-28T09:00:00,razorpay
line_base_00144,setl_base_0009,pay_base_0125,PAYMENT,pay_base_0125,528900,10578,1904,516418,INR,2026-08-26T09:02:16,2026-08-28T09:00:00,razorpay
line_base_00145,setl_base_0009,pay_base_0136,PAYMENT,pay_base_0136,1782800,35656,6418,1740726,INR,2026-08-28T13:49:48,2026-08-28T09:00:00,razorpay
line_base_00146,setl_base_0009,pay_base_0147,PAYMENT,pay_base_0147,633000,12660,2278,618062,INR,2026-08-30T18:37:14,2026-08-28T09:00:00,razorpay
line_base_00147,setl_base_0009,rfnd_base_0011,REFUND,pay_base_0123,93800,0,0,-93800,INR,2026-08-27T08:41:36,2026-08-28T09:00:00,razorpay
line_base_00148,setl_base_0009,rfnd_base_0014,REFUND,pay_base_0100,906750,0,0,-906750,INR,2026-08-22T10:17:22,2026-08-28T09:00:00,razorpay
line_base_00149,setl_base_0009,adj_base_0003,ADJUSTMENT,,11600,0,0,-11600,INR,2026-08-27T09:00:00,2026-08-28T09:00:00,razorpay
line_base_00150,setl_base_0010,pay_base_0010,PAYMENT,pay_base_0010,2249800,44996,8099,2196705,INR,2026-08-03T09:02:27,2026-08-31T09:00:00,razorpay
line_base_00151,setl_base_0010,pay_base_0021,PAYMENT,pay_base_0021,661700,13234,2382,646084,INR,2026-08-05T13:51:51,2026-08-31T09:00:00,razorpay
line_base_00152,setl_base_0010,pay_base_0031,PAYMENT,pay_base_0031,1329300,26586,4785,1297929,INR,2026-08-07T13:50:54,2026-08-31T09:00:00,razorpay
line_base_00153,setl_base_0010,pay_base_0042,PAYMENT,pay_base_0042,1511700,30234,5442,1476024,INR,2026-08-09T18:41:10,2026-08-31T09:00:00,razorpay
line_base_00154,setl_base_0010,pay_base_0052,PAYMENT,pay_base_0052,346800,6936,1248,338616,INR,2026-08-11T18:39:31,2026-08-31T09:00:00,razorpay
line_base_00155,setl_base_0010,pay_base_0063,PAYMENT,pay_base_0063,994000,19880,3578,970542,INR,2026-08-13T23:25:52,2026-08-31T09:00:00,razorpay
line_base_00156,setl_base_0010,pay_base_0073,PAYMENT,pay_base_0073,1805200,36104,6498,1762598,INR,2026-08-15T23:27:34,2026-08-31T09:00:00,razorpay
line_base_00157,setl_base_0010,pay_base_0083,PAYMENT,pay_base_0083,1081000,21620,3891,1055489,INR,2026-08-17T23:25:31,2026-08-31T09:00:00,razorpay
line_base_00158,setl_base_0010,pay_base_0094,PAYMENT,pay_base_0094,814400,16288,2931,795181,INR,2026-08-20T04:15:27,2026-08-31T09:00:00,razorpay
line_base_00159,setl_base_0010,pay_base_0105,PAYMENT,pay_base_0105,1548100,30962,5573,1511565,INR,2026-08-22T09:01:33,2026-08-31T09:00:00,razorpay
line_base_00160,setl_base_0010,pay_base_0116,PAYMENT,pay_base_0116,1969600,39392,7090,1923118,INR,2026-08-24T13:49:35,2026-08-31T09:00:00,razorpay
line_base_00161,setl_base_0010,pay_base_0126,PAYMENT,pay_base_0126,514500,10290,1852,502358,INR,2026-08-26T13:53:03,2026-08-31T09:00:00,razorpay
line_base_00162,setl_base_0010,pay_base_0137,PAYMENT,pay_base_0137,332500,6650,1197,324653,INR,2026-08-28T18:40:32,2026-08-31T09:00:00,razorpay
line_base_00163,setl_base_0010,pay_base_0148,PAYMENT,pay_base_0148,1454400,29088,5235,1420077,INR,2026-08-30T23:28:09,2026-08-31T09:00:00,razorpay
