event_id,upi_transaction_id,timestamp,previous_state,new_state,event_type,amount,rrn,source
upievt_base_0014_2,upi_base_0014,2026-08-04T04:16:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,2451100,743806247029,webhook
upievt_base_0017_1,upi_base_0017,2026-08-04T18:37:28,INITIATED,PENDING,UPI_INTENT_SENT,218100,112637644335,webhook
upievt_base_0017_2,upi_base_0017,2026-08-04T18:38:16,PENDING,CAPTURED,WEBHOOK_CAPTURED,218100,112637644335,webhook
upievt_base_0019_1,upi_base_0019,2026-08-05T04:14:01,INITIATED,PENDING,UPI_INTENT_SENT,1434600,653930041483,webhook
upievt_base_0019_2,upi_base_0019,2026-08-05T04:14:38,PENDING,CAPTURED,WEBHOOK_CAPTURED,1434600,653930041483,webhook
upievt_base_0021_1,upi_base_0021,2026-08-05T13:51:15,INITIATED,PENDING,UPI_INTENT_SENT,661700,103944899549,webhook
upievt_base_0021_2,upi_base_0021,2026-08-05T13:51:51,PENDING,CAPTURED,WEBHOOK_CAPTURED,661700,103944899549,webhook
upievt_base_0022_1,upi_base_0022,2026-08-05T18:37:10,INITIATED,PENDING,UPI_INTENT_SENT,73800,362241791770,webhook
upievt_base_0022_2,upi_base_0022,2026-08-05T18:37:20,PENDING,CAPTURED,WEBHOOK_CAPTURED,73800,362241791770,webhook
upievt_base_0023_1,upi_base_0023,2026-08-05T23:28:33,INITIATED,PENDING,UPI_INTENT_SENT,2408300,822105942877,webhook
upievt_base_0023_2,upi_base_0023,2026-08-05T23:29:13,PENDING,CAPTURED,WEBHOOK_CAPTURED,2408300,822105942877,webhook
upievt_base_0024_1,upi_base_0024,2026-08-06T04:14:12,INITIATED,PENDING,UPI_INTENT_SENT,551000,696695139934,webhook
upievt_base_0024_2,upi_base_0024,2026-08-06T04:15:02,PENDING,CAPTURED,WEBHOOK_CAPTURED,551000,696695139934,webhook
upievt_base_0025_1,upi_base_0025,2026-08-06T09:04:21,INITIATED,PENDING,UPI_INTENT_SENT,1031400,670799496139,webhook
upievt_base_0025_2,upi_base_0025,2026-08-06T09:04:33,PENDING,CAPTURED,WEBHOOK_CAPTURED,1031400,670799496139,webhook
upievt_base_0026_1,upi_base_0026,2026-08-06T13:50:22,INITIATED,PENDING,UPI_INTENT_SENT,822300,745233429651,webhook
upievt_base_0026_2,upi_base_0026,2026-08-06T13:50:27,PENDING,CAPTURED,WEBHOOK_CAPTURED,822300,745233429651,webhook
upievt_base_0028_1,upi_base_0028,2026-08-06T23:25:37,INITIATED,PENDING,UPI_INTENT_SENT,1092700,693625626938,webhook
upievt_base_0028_2,upi_base_0028,2026-08-06T23:26:28,PENDING,CAPTURED,WEBHOOK_CAPTURED,1092700,693625626938,webhook
upievt_base_0029_1,upi_base_0029,2026-08-07T04:13:19,INITIATED,PENDING,UPI_INTENT_SENT,1881100,203897019487,webhook
upievt_base_0029_2,upi_base_0029,2026-08-07T04:14:06,PENDING,CAPTURED,WEBHOOK_CAPTURED,1881100,203897019487,webhook
upievt_base_0030_1,upi_base_0030,2026-08-07T09:01:20,INITIATED,PENDING,UPI_INTENT_SENT,1422400,820151617123,webhook
upievt_base_0030_2,upi_base_0030,2026-08-07T09:01:28,PENDING,CAPTURED,WEBHOOK_CAPTURED,1422400,820151617123,webhook
upievt_base_0032_1,upi_base_0032,2026-08-07T18:37:08,INITIATED,PENDING,UPI_INTENT_SENT,633200,372569912085,webhook
upievt_base_0032_2,upi_base_0032,2026-08-07T18:37:41,PENDING,CAPTURED,WEBHOOK_CAPTURED,633200,372569912085,webhook
upievt_base_0033_1,upi_base_0033,2026-08-07T23:26:31,INITIATED,PENDING,UPI_INTENT_SENT,1813300,202946055043,webhook
upievt_base_0033_2,upi_base_0033,2026-08-07T23:26:46,PENDING,CAPTURED,WEBHOOK_CAPTURED,1813300,202946055043,webhook
upievt_base_0034_1,upi_base_0034,2026-08-08T04:12:31,INITIATED,PENDING,UPI_INTENT_SENT,1341700,517318938760,webhook
upievt_base_0034_2,upi_base_0034,2026-08-08T04:13:00,PENDING,CAPTURED,WEBHOOK_CAPTURED,1341700,517318938760,webhook
upievt_base_0037_1,upi_base_0037,2026-08-08T18:39:10,INITIATED,PENDING,UPI_INTENT_SENT,632200,920600564299,webhook
upievt_base_0037_2,upi_base_0037,2026-08-08T18:39:55,PENDING,FAILED,WEBHOOK_FAILED,632200,920600564299,webhook
upievt_base_0038_1,upi_base_0038,2026-08-08T23:26:05,INITIATED,PENDING,UPI_INTENT_SENT,197300,188080452706,webhook
upievt_base_0038_2,upi_base_0038,2026-08-08T23:26:14,PENDING,CAPTURED,WEBHOOK_CAPTURED,197300,188080452706,webhook
upievt_base_0039_1,upi_base_0039,2026-08-09T04:12:50,INITIATED,PENDING,UPI_INTENT_SENT,1959800,373029676920,webhook
upievt_base_0039_2,upi_base_0039,2026-08-09T04:13:34,PENDING,CAPTURED,WEBHOOK_CAPTURED,1959800,373029676920,webhook
upievt_base_0040_1,upi_base_0040,2026-08-09T09:02:14,INITIATED,PENDING,UPI_INTENT_SENT,278600,387482374357,webhook
upievt_base_0040_2,upi_base_0040,2026-08-09T09:03:01,PENDING,CAPTURED,WEBHOOK_CAPTURED,278600,387482374357,webhook
upievt_base_0041_1,upi_base_0041,2026-08-09T13:49:07,INITIATED,PENDING,UPI_INTENT_SENT,2356800,445561148277,webhook
upievt_base_0041_2,upi_base_0041,2026-08-09T13:49:12,PENDING,CAPTURED,WEBHOOK_CAPTURED,2356800,445561148277,webhook
upievt_base_0042_1,upi_base_0042,2026-08-09T18:40:49,INITIATED,PENDING,UPI_INTENT_SENT,1511700,334237356171,webhook
upievt_base_0042_2,upi_base_0042,2026-08-09T18:41:10,PENDING,CAPTURED,WEBHOOK_CAPTURED,1511700,334237356171,webhook
upievt_base_0044_1,upi_base_0044,2026-08-10T04:17:00,INITIATED,PENDING,UPI_INTENT_SENT,526900,820726006289,webhook
upievt_base_0044_2,upi_base_0044,2026-08-10T04:17:05,PENDING,CAPTURED,WEBHOOK_CAPTURED,526900,820726006289,webhook
upievt_base_0046_1,upi_base_0046,2026-08-10T13:50:17,INITIATED,PENDING,UPI_INTENT_SENT,876600,410407371993,webhook
upievt_base_0046_2,upi_base_0046,2026-08-10T13:51:07,PENDING,CAPTURED,WEBHOOK_CAPTURED,876600,410407371993,webhook
upievt_base_0047_1,upi_base_0047,2026-08-10T18:36:56,INITIATED,PENDING,UPI_INTENT_SENT,1133500,376976135264,webhook
upievt_base_0047_2,upi_base_0047,2026-08-10T18:37:06,PENDING,CAPTURED,WEBHOOK_CAPTURED,1133500,376976135264,webhook
upievt_base_0048_1,upi_base_0048,2026-08-10T23:26:44,INITIATED,PENDING,UPI_INTENT_SENT,2088400,245045852621,webhook
upievt_base_0048_2,upi_base_0048,2026-08-10T23:26:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,2088400,245045852621,webhook
upievt_base_0049_1,upi_base_0049,2026-08-11T04:13:46,INITIATED,PENDING,UPI_INTENT_SENT,2438800,182084873288,webhook
upievt_base_0049_2,upi_base_0049,2026-08-11T04:14:25,PENDING,CAPTURED,WEBHOOK_CAPTURED,2438800,182084873288,webhook
upievt_base_0051_1,upi_base_0051,2026-08-11T13:50:37,INITIATED,PENDING,UPI_INTENT_SENT,147000,848226581356,webhook
upievt_base_0051_2,upi_base_0051,2026-08-11T13:51:24,PENDING,CAPTURED,WEBHOOK_CAPTURED,147000,848226581356,webhook
upievt_base_0052_1,upi_base_0052,2026-08-11T18:38:31,INITIATED,PENDING,UPI_INTENT_SENT,346800,270722706393,webhook
upievt_base_0052_2,upi_base_0052,2026-08-11T18:39:31,PENDING,CAPTURED,WEBHOOK_CAPTURED,346800,270722706393,webhook
upievt_base_0057_1,upi_base_0057,2026-08-12T18:38:52,INITIATED,PENDING,UPI_INTENT_SENT,87500,950261314384,webhook
upievt_base_0057_2,upi_base_0057,2026-08-12T18:39:19,PENDING,CAPTURED,WEBHOOK_CAPTURED,87500,950261314384,webhook
upievt_base_0058_1,upi_base_0058,2026-08-12T23:25:29,INITIATED,PENDING,UPI_INTENT_SENT,2112000,134098763897,webhook
upievt_base_0058_2,upi_base_0058,2026-08-12T23:25:50,PENDING,CAPTURED,WEBHOOK_CAPTURED,2112000,134098763897,webhook
upievt_base_0059_1,upi_base_0059,2026-08-13T04:15:26,INITIATED,PENDING,UPI_INTENT_SENT,595100,579303623884,webhook
upievt_base_0059_2,upi_base_0059,2026-08-13T04:16:11,PENDING,FAILED,WEBHOOK_FAILED,595100,579303623884,webhook
upievt_base_0061_1,upi_base_0061,2026-08-13T13:50:10,INITIATED,PENDING,UPI_INTENT_SENT,1899300,691874457344,webhook
upievt_base_0061_2,upi_base_0061,2026-08-13T13:50:38,PENDING,CAPTURED,WEBHOOK_CAPTURED,1899300,691874457344,webhook
upievt_base_0062_1,upi_base_0062,2026-08-13T18:37:33,INITIATED,PENDING,UPI_INTENT_SENT,1423200,827197730438,webhook
upievt_base_0062_2,upi_base_0062,2026-08-13T18:38:24,PENDING,CAPTURED,WEBHOOK_CAPTURED,1423200,827197730438,webhook
upievt_base_0063_1,upi_base_0063,2026-08-13T23:25:35,INITIATED,PENDING,UPI_INTENT_SENT,994000,425117034534,webhook
upievt_base_0063_2,upi_base_0063,2026-08-13T23:25:52,PENDING,CAPTURED,WEBHOOK_CAPTURED,994000,425117034534,webhook
upievt_base_0064_1,upi_base_0064,2026-08-14T04:15:04,INITIATED,PENDING,UPI_INTENT_SENT,1387700,725413874351,webhook
upievt_base_0064_2,upi_base_0064,2026-08-14T04:15:34,PENDING,CAPTURED,WEBHOOK_CAPTURED,1387700,725413874351,webhook
upievt_base_0066_1,upi_base_0066,2026-08-14T13:52:51,INITIATED,PENDING,UPI_INTENT_SENT,1910400,334830030878,webhook
upievt_base_0066_2,upi_base_0066,2026-08-14T13:53:26,PENDING,CAPTURED,WEBHOOK_CAPTURED,1910400,334830030878,webhook
upievt_base_0067_1,upi_base_0067,2026-08-14T18:38:30,INITIATED,PENDING,UPI_INTENT_SENT,2421500,200223870427,webhook
upievt_base_0067_2,upi_base_0067,2026-08-14T18:39:18,PENDING,CAPTURED,WEBHOOK_CAPTURED,2421500,200223870427,webhook
upievt_base_0068_1,upi_base_0068,2026-08-14T23:25:07,INITIATED,PENDING,UPI_INTENT_SENT,1027100,772055593219,webhook
upievt_base_0068_2,upi_base_0068,2026-08-14T23:25:41,PENDING,CAPTURED,WEBHOOK_CAPTURED,1027100,772055593219,webhook
upievt_base_0070_1,upi_base_0070,2026-08-15T09:02:22,INITIATED,PENDING,UPI_INTENT_SENT,1319500,567199758169,webhook
upievt_base_0070_2,upi_base_0070,2026-08-15T09:02:38,PENDING,CAPTURED,WEBHOOK_CAPTURED,1319500,567199758169,webhook
upievt_base_0071_1,upi_base_0071,2026-08-15T13:52:27,INITIATED,PENDING,UPI_INTENT_SENT,2290300,247989376703,webhook
upievt_base_0071_2,upi_base_0071,2026-08-15T13:53:14,PENDING,CAPTURED,WEBHOOK_CAPTURED,2290300,247989376703,webhook
upievt_base_0073_1,upi_base_0073,2026-08-15T23:26:36,INITIATED,PENDING,UPI_INTENT_SENT,1805200,925746940063,webhook
upievt_base_0073_2,upi_base_0073,2026-08-15T23:27:34,PENDING,CAPTURED,WEBHOOK_CAPTURED,1805200,925746940063,webhook
upievt_base_0074_1,upi_base_0074,2026-08-16T04:13:09,INITIATED,PENDING,UPI_INTENT_SENT,2099400,582215724207,webhook
upievt_base_0074_2,upi_base_0074,2026-08-16T04:13:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,2099400,582215724207,webhook
upievt_base_0075_1,upi_base_0075,2026-08-16T09:02:28,INITIATED,PENDING,UPI_INTENT_SENT,946200,263803069319,webhook
upievt_base_0075_2,upi_base_0075,2026-08-16T09:02:57,PENDING,CAPTURED,WEBHOOK_CAPTURED,946200,263803069319,webhook
upievt_base_0076_1,upi_base_0076,2026-08-16T13:52:28,INITIATED,PENDING,UPI_INTENT_SENT,2283900,694126611586,webhook
upievt_base_0076_2,upi_base_0076,2026-08-16T13:52:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,2283900,694126611586,webhook
upievt_base_0077_1,upi_base_0077,2026-08-16T18:39:44,INITIATED,PENDING,UPI_INTENT_SENT,214000,734648396163,webhook
upievt_base_0077_2,upi_base_0077,2026-08-16T18:40:19,PENDING,CAPTURED,WEBHOOK_CAPTURED,214000,734648396163,webhook
upievt_base_0080_1,upi_base_0080,2026-08-17T09:04:29,INITIATED,PENDING,UPI_INTENT_SENT,904300,283498961791,webhook
upievt_base_0080_2,upi_base_0080,2026-08-17T09:04:42,PENDING,CAPTURED,WEBHOOK_CAPTURED,904300,283498961791,webhook
upievt_base_0081_1,upi_base_0081,2026-08-17T13:49:12,INITIATED,PENDING,UPI_INTENT_SENT,2049000,128617366055,webhook
upievt_base_0081_2,upi_base_0081,2026-08-17T13:49:58,PENDING,CAPTURED,WEBHOOK_CAPTURED,2049000,128617366055,webhook
upievt_base_0082_1,upi_base_0082,2026-08-17T18:38:18,INITIATED,PENDING,UPI_INTENT_SENT,1414400,458110524275,webhook
upievt_base_0082_2,upi_base_0082,2026-08-17T18:38:52,PENDING,CAPTURED,WEBHOOK_CAPTURED,1414400,458110524275,webhook
upievt_base_0083_1,upi_base_0083,2026-08-17T23:24:39,INITIATED,PENDING,UPI_INTENT_SENT,1081000,615747860109,webhook
upievt_base_0083_2,upi_base_0083,2026-08-17T23:25:31,PENDING,CAPTURED,WEBHOOK_CAPTURED,1081000,615747860109,webhook
upievt_base_0084_1,upi_base_0084,2026-08-18T04:12:45,INITIATED,PENDING,UPI_INTENT_SENT,1777500,145748937891,webhook
upievt_base_0084_2,upi_base_0084,2026-08-18T04:13:30,PENDING,FAILED,WEBHOOK_FAILED,1777500,145748937891,webhook
upievt_base_0085_1,upi_base_0085,2026-08-18T09:01:28,INITIATED,PENDING,UPI_INTENT_SENT,820200,620233157780,webhook
upievt_base_0085_2,upi_base_0085,2026-08-18T09:02:09,PENDING,CAPTURED,WEBHOOK_CAPTURED,820200,620233157780,webhook
upievt_base_0086_1,upi_base_0086,2026-08-18T13:49:28,INITIATED,PENDING,UPI_INTENT_SENT,724200,768322220181,webhook
upievt_base_0086_2,upi_base_0086,2026-08-18T13:50:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,724200,768322220181,webhook
upievt_base_0089_1,upi_base_0089,2026-08-19T04:13:31,INITIATED,PENDING,UPI_INTENT_SENT,1950100,855271258456,webhook
upievt_base_0089_2,upi_base_0089,2026-08-19T04:14:26,PENDING,CAPTURED,WEBHOOK_CAPTURED,1950100,855271258456,webhook
upievt_base_0091_1,upi_base_0091,2026-08-19T13:51:35,INITIATED,PENDING,UPI_INTENT_SENT,1667900,572899688547,webhook
upievt_base_0091_2,upi_base_0091,2026-08-19T13:52:20,PENDING,CAPTURED,WEBHOOK_CAPTURED,1667900,572899688547,webhook
upievt_base_0093_1,upi_base_0093,2026-08-19T23:26:47,INITIATED,PENDING,UPI_INTENT_SENT,895000,751679795363,webhook
upievt_base_0093_2,upi_base_0093,2026-08-19T23:27:12,PENDING,CAPTURED,WEBHOOK_CAPTURED,895000,751679795363,webhook
upievt_base_0095_1,upi_base_0095,2026-08-20T09:04:39,INITIATED,PENDING,UPI_INTENT_SENT,1532700,298964420838,webhook
upievt_base_0095_2,upi_base_0095,2026-08-20T09:04:57,PENDING,CAPTURED,WEBHOOK_CAPTURED,1532700,298964420838,webhook
upievt_base_0097_1,upi_base_0097,2026-08-20T18:38:33,INITIATED,PENDING,UPI_INTENT_SENT,43200,711983781912,webhook
upievt_base_0097_2,upi_base_0097,2026-08-20T18:39:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,43200,711983781912,webhook
upievt_base_0098_1,upi_base_0098,2026-08-20T23:27:57,INITIATED,PENDING,UPI_INTENT_SENT,1570000,341781900773,webhook
upievt_base_0098_2,upi_base_0098,2026-08-20T23:28:46,PENDING,CAPTURED,WEBHOOK_CAPTURED,1570000,341781900773,webhook
upievt_base_0099_1,upi_base_0099,2026-08-21T04:16:07,INITIATED,PENDING,UPI_INTENT_SENT,807200,480237414389,webhook
upievt_base_0099_2,upi_base_0099,2026-08-21T04:16:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,807200,480237414389,webhook
upievt_base_0100_1,upi_base_0100,2026-08-21T09:01:31,INITIATED,PENDING,UPI_INTENT_SENT,1813500,354482841033,webhook
upievt_base_0100_2,upi_base_0100,2026-08-21T09:02:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,1813500,354482841033,webhook
upievt_base_0101_1,upi_base_0101,2026-08-21T13:52:37,INITIATED,PENDING,UPI_INTENT_SENT,641000,337045863496,webhook
upievt_base_0101_2,upi_base_0101,2026-08-21T13:52:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,641000,337045863496,webhook
upievt_base_0102_1,upi_base_0102,2026-08-21T18:38:09,INITIATED,PENDING,UPI_INTENT_SENT,2384300,211585443515,webhook
upievt_base_0102_2,upi_base_0102,2026-08-21T18:38:32,PENDING,CAPTURED,WEBHOOK_CAPTURED,2384300,211585443515,webhook
upievt_base_0103_1,upi_base_0103,2026-08-21T23:24:53,INITIATED,PENDING,UPI_INTENT_SENT,755400,401191380396,webhook
upievt_base_0103_2,upi_base_0103,2026-08-21T23:25:01,PENDING,CAPTURED,WEBHOOK_CAPTURED,755400,401191380396,webhook
upievt_base_0104_1,upi_base_0104,2026-08-22T04:14:55,INITIATED,PENDING,UPI_INTENT_SENT,1823200,727117904706,webhook
upievt_base_0104_2,upi_base_0104,2026-08-22T04:15:40,PENDING,FAILED,WEBHOOK_FAILED,1823200,727117904706,webhook
upievt_base_0105_1,upi_base_0105,2026-08-22T09:01:03,INITIATED,PENDING,UPI_INTENT_SENT,1548100,226605882836,webhook
upievt_base_0105_2,upi_base_0105,2026-08-22T09:01:33,PENDING,CAPTURED,WEBHOOK_CAPTURED,1548100,226605882836,webhook
upievt_base_0106_1,upi_base_0106,2026-08-22T13:51:05,INITIATED,PENDING,UPI_INTENT_SENT,1621300,989699029003,webhook
upievt_base_0106_2,upi_base_0106,2026-08-22T13:51:15,PENDING,CAPTURED,WEBHOOK_CAPTURED,1621300,989699029003,webhook
upievt_base_0107_1,upi_base_0107,2026-08-22T18:38:25,INITIATED,PENDING,UPI_INTENT_SENT,823200,782001038753,webhook
upievt_base_0107_2,upi_base_0107,2026-08-22T18:39:19,PENDING,CAPTURED,WEBHOOK_CAPTURED,823200,782001038753,webhook
upievt_base_0108_1,upi_base_0108,2026-08-22T23:27:06,INITIATED,PENDING,UPI_INTENT_SENT,1722300,572403587152,webhook
upievt_base_0108_2,upi_base_0108,2026-08-22T23:27:47,PENDING,CAPTURED,WEBHOOK_CAPTURED,1722300,572403587152,webhook
upievt_base_0109_1,upi_base_0109,2026-08-23T04:14:45,INITIATED,PENDING,UPI_INTENT_SENT,2044900,334614800586,webhook
upievt_base_0109_2,upi_base_0109,2026-08-23T04:15:30,PENDING,FAILED,WEBHOOK_FAILED,2044900,334614800586,webhook
upievt_base_0110_1,upi_base_0110,2026-08-23T09:03:59,INITIATED,PENDING,UPI_INTENT_SENT,2174000,100672302490,webhook
upievt_base_0110_2,upi_base_0110,2026-08-23T09:04:32,PENDING,CAPTURED,WEBHOOK_CAPTURED,2174000,100672302490,webhook
upievt_base_0111_1,upi_base_0111,2026-08-23T13:52:22,INITIATED,PENDING,UPI_INTENT_SENT,2268900,412273997497,webhook
upievt_base_0111_2,upi_base_0111,2026-08-23T13:52:31,PENDING,CAPTURED,WEBHOOK_CAPTURED,2268900,412273997497,webhook
upievt_base_0112_1,upi_base_0112,2026-08-23T18:38:11,INITIATED,PENDING,UPI_INTENT_SENT,2262400,983308055200,webhook
upievt_base_0112_2,upi_base_0112,2026-08-23T18:38:43,PENDING,CAPTURED,WEBHOOK_CAPTURED,2262400,983308055200,webhook
upievt_base_0113_1,upi_base_0113,2026-08-23T23:25:54,INITIATED,PENDING,UPI_INTENT_SENT,386000,164731212366,webhook
upievt_base_0113_2,upi_base_0113,2026-08-23T23:26:49,PENDING,CAPTURED,WEBHOOK_CAPTURED,386000,164731212366,webhook
upievt_base_0114_1,upi_base_0114,2026-08-24T04:15:05,INITIATED,PENDING,UPI_INTENT_SENT,1017900,611635203107,webhook
upievt_base_0114_2,upi_base_0114,2026-08-24T04:15:54,PENDING,CAPTURED,WEBHOOK_CAPTURED,1017900,611635203107,webhook
upievt_base_0116_1,upi_base_0116,2026-08-24T13:49:16,INITIATED,PENDING,UPI_INTENT_SENT,1969600,126845125742,webhook
upievt_base_0116_2,upi_base_0116,2026-08-24T13:49:35,PENDING,CAPTURED,WEBHOOK_CAPTURED,1969600,126845125742,webhook
upievt_base_0120_1,upi_base_0120,2026-08-25T09:04:43,INITIATED,PENDING,UPI_INTENT_SENT,1150100,552388062042,webhook
upievt_base_0120_2,upi_base_0120,2026-08-25T09:05:06,PENDING,CAPTURED,WEBHOOK_CAPTURED,1150100,552388062042,webhook
upievt_base_0122_1,upi_base_0122,2026-08-25T18:40:26,INITIATED,PENDING,UPI_INTENT_SENT,298500,821559449515,webhook
upievt_base_0122_2,upi_base_0122,2026-08-25T18:40:57,PENDING,CAPTURED,WEBHOOK_CAPTURED,298500,821559449515,webhook
upievt_base_0123_1,upi_base_0123,2026-08-25T23:26:14,INITIATED,PENDING,UPI_INTENT_SENT,187600,159098709360,webhook
upievt_base_0123_2,upi_base_0123,2026-08-25T23:26:36,PENDING,CAPTURED,WEBHOOK_CAPTURED,187600,159098709360,webhook
upievt_base_0124_1,upi_base_0124,2026-08-26T04:14:32,INITIATED,PENDING,UPI_INTENT_SENT,1809600,130586292150,webhook
upievt_base_0124_2,upi_base_0124,2026-08-26T04:15:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,1809600,130586292150,webhook
upievt_base_0125_1,upi_base_0125,2026-08-26T09:01:30,INITIATED,PENDING,UPI_INTENT_SENT,528900,607293452733,webhook
upievt_base_0125_2,upi_base_0125,2026-08-26T09:02:16,PENDING,CAPTURED,WEBHOOK_CAPTURED,528900,607293452733,webhook
upievt_base_0126_1,upi_base_0126,2026-08-26T13:52:23,INITIATED,PENDING,UPI_INTENT_SENT,514500,368316140875,webhook
upievt_base_0126_2,upi_base_0126,2026-08-26T13:53:03,PENDING,CAPTURED,WEBHOOK_CAPTURED,514500,368316140875,webhook
upievt_base_0127_1,upi_base_0127,2026-08-26T18:38:51,INITIATED,PENDING,UPI_INTENT_SENT,483900,176725411465,webhook
upievt_base_0127_2,upi_base_0127,2026-08-26T18:39:36,PENDING,FAILED,WEBHOOK_FAILED,483900,176725411465,webhook
upievt_base_0128_1,upi_base_0128,2026-08-26T23:27:02,INITIATED,PENDING,UPI_INTENT_SENT,1369600,895783733945,webhook
upievt_base_0128_2,upi_base_0128,2026-08-26T23:28:00,PENDING,CAPTURED,WEBHOOK_CAPTURED,1369600,895783733945,webhook
upievt_base_0129_1,upi_base_0129,2026-08-27T04:15:26,INITIATED,PENDING,UPI_INTENT_SENT,1933200,630594163379,webhook
upievt_base_0129_2,upi_base_0129,2026-08-27T04:15:52,PENDING,CAPTURED,WEBHOOK_CAPTURED,1933200,630594163379,webhook
upievt_base_0131_1,upi_base_0131,2026-08-27T13:52:32,INITIATED,PENDING,UPI_INTENT_SENT,792500,917410343160,webhook
upievt_base_0131_2,upi_base_0131,2026-08-27T13:53:22,PENDING,CAPTURED,WEBHOOK_CAPTURED,792500,917410343160,webhook
upievt_base_0132_1,upi_base_0132,2026-08-27T18:40:47,INITIATED,PENDING,UPI_INTENT_SENT,1259200,237597951504,webhook
upievt_base_0132_2,upi_base_0132,2026-08-27T18:41:29,PENDING,CAPTURED,WEBHOOK_CAPTURED,1259200,237597951504,webhook
upievt_base_0134_1,upi_base_0134,2026-08-28T04:14:45,INITIATED,PENDING,UPI_INTENT_SENT,1507200,615717460412,webhook
upievt_base_0134_2,upi_base_0134,2026-08-28T04:15:11,PENDING,CAPTURED,WEBHOOK_CAPTURED,1507200,615717460412,webhook
