id,amount,currency,status,created_at
order_base_0090,1864400,INR,paid,2026-08-19T09:00:00
order_base_0091,1667900,INR,paid,2026-08-19T13:48:00
order_base_0092,1516400,INR,paid,2026-08-19T18:36:00
order_base_0093,895000,INR,paid,2026-08-19T23:24:00
order_base_0094,814400,INR,paid,2026-08-20T04:12:00
order_base_0095,1532700,INR,paid,2026-08-20T09:00:00
order_base_0096,1172600,INR,paid,2026-08-20T13:48:00
order_base_0097,43200,INR,paid,2026-08-20T18:36:00
order_base_0098,1570000,INR,paid,2026-08-20T23:24:00
order_base_0099,807200,INR,paid,2026-08-21T04:12:00
order_base_0100,1813500,INR,paid,2026-08-21T09:00:00
order_base_0101,641000,INR,paid,2026-08-21T13:48:00
order_base_0102,2384300,INR,paid,2026-08-21T18:36:00
order_base_0103,755400,INR,paid,2026-08-21T23:24:00
order_base_0104,1823200,INR,paid,2026-08-22T04:12:00
order_base_0105,1548100,INR,paid,2026-08-22T09:00:00
order_base_0106,1621300,INR,paid,2026-08-22T13:48:00
order_base_0107,823200,INR,paid,2026-08-22T18:36:00
order_base_0108,1722300,INR,paid,2026-08-22T23:24:00
order_base_0109,2044900,INR,paid,2026-08-23T04:12:00
order_base_0110,2174000,INR,paid,2026-08-23T09:00:00
order_base_0111,2268900,INR,paid,2026-08-23T13:48:00
order_base_0112,2262400,INR,paid,2026-08-23T18:36:00
order_base_0113,386000,INR,paid,2026-08-23T23:24:00
order_base_0114,1017900,INR,paid,2026-08-24T04:12:00
order_base_0115,1328900,INR,paid,2026-08-24T09:00:00
order_base_0116,1969600,INR,paid,2026-08-24T13:48:00
order_base_0117,2219500,INR,paid,2026-08-24T18:36:00
order_base_0118,141800,INR,paid,2026-08-24T23:24:00
order_base_0119,604700,INR,paid,2026-08-25T04:12:00
order_base_0120,1150100,INR,paid,2026-08-25T09:00:00
order_base_0121,2181100,INR,paid,2026-08-25T13:48:00
order_base_0122,298500,INR,paid,2026-08-25T18:36:00
order_base_0123,187600,INR,paid,2026-08-25T23:24:00
order_base_0124,1809600,INR,paid,2026-08-26T04:12:00
order_base_0125,528900,INR,paid,2026-08-26T09:00:00
order_base_0126,514500,INR,paid,2026-08-26T13:48:00
order_base_0127,483900,INR,paid,2026-08-26T18:36:00
order_base_0128,1369600,INR,paid,2026-08-26T23:24:00
order_base_0129,1933200,INR,paid,2026-08-27T04:12:00
order_base_0130,1818500,INR,paid,2026-08-27T09:00:00
order_base_0131,792500,INR,paid,2026-08-27T13:48:00
order_base_0132,1259200,INR,paid,2026-08-27T18:36:00
order_base_0133,1097800,INR,paid,2026-08-27T23:24:00
order_base_0134,1507200,INR,paid,2026-08-28T04:12:00
order_base_0135,2052200,INR,paid,2026-08-28T09:00:00
order_base_0136,1782800,INR,paid,2026-08-28T13:48:00
order_base_0137,332500,INR,paid,2026-08-28T18:36:00
order_base_0138,2284100,INR,paid,2026-08-28T23:24:00
order_base_0139,487000,INR,paid,2026-08-29T04:12:00
order_base_0140,1263500,INR,paid,2026-08-29T09:00:00
order_base_0141,846600,INR,paid,2026-08-29T13:48:00
order_base_0142,1457400,INR,paid,2026-08-29T18:36:00
order_base_0143,2272000,INR,paid,2026-08-29T23:24:00
order_base_0144,1259600,INR,paid,2026-08-30T04:12:00
order_base_0145,36500,INR,paid,2026-08-30T09:00:00
order_base_0146,947800,INR,paid,2026-08-30T13:48:00
order_base_0147,633000,INR,paid,2026-08-30T18:36:00
order_base_0148,1454400,INR,paid,2026-08-30T23:24:00
order_base_0149,1371500,INR,paid,2026-08-31T04:12:00
order_base_0150,549100,INR,paid,2026-08-31T09:00:00
order_scen_001_2076,500000,INR,created,2026-08-03T09:00:00
order_scen_002_r_9282,800000,INR,created,2026-08-06T09:00:00
order_scen_002_d_8048,800000,INR,created,2026-08-06T09:00:00
order_scen_003_7815,1000000,INR,created,2026-08-09T09:00:00
order_scen_004_2494,1500000,INR,created,2026-08-12T09:00:00
order_scen_005_7929,350000,INR,created,2026-08-15T09:00:00
order_scen_006_7022,500000,INR,created,2026-08-18T09:00:00
order_scen_007_5381,2000000,INR,created,2026-08-21T09:00:00
order_scen_008_3972,1200000,INR,created,2026-08-24T09:00:00
order_scen_009_1_9691,900000,INR,created,2026-08-27T09:00:00
order_scen_009_2_4524,900000,INR,created,2026-08-27T09:00:00
order_scen_010_3549,3000000,INR,created,2026-08-29T09:00:00
