upi_transaction_id,payment_id,order_id,rrn,amount,vpa,initiated_at,current_observed_status,final_determined_status,debit_observed,reversal_status,reversal_amount,financial_effect_status,financial_effect_amount,provider
upi_base_0022,pay_base_0022,order_base_0022,362241791770,73800,user_022@okhdfcbank,2026-08-05T18:37:10,CAPTURED,SUCCESS,true,NONE,,DETERMINED,73800,razorpay
upi_base_0023,pay_base_0023,order_base_0023,822105942877,2408300,user_023@okhdfcbank,2026-08-05T23:28:33,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2408300,razorpay
upi_base_0024,pay_base_0024,order_base_0024,696695139934,551000,user_024@okhdfcbank,2026-08-06T04:14:12,CAPTURED,SUCCESS,true,NONE,,DETERMINED,551000,razorpay
upi_base_0025,pay_base_0025,order_base_0025,670799496139,1031400,user_025@paytm,2026-08-06T09:04:21,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1031400,razorpay
upi_base_0026,pay_base_0026,order_base_0026,745233429651,822300,user_026@apl,2026-08-06T13:50:22,CAPTURED,SUCCESS,true,NONE,,DETERMINED,822300,razorpay
upi_base_0028,pay_base_0028,order_base_0028,693625626938,1092700,user_028@paytm,2026-08-06T23:25:37,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1092700,razorpay
upi_base_0029,pay_base_0029,order_base_0029,203897019487,1881100,user_029@paytm,2026-08-07T04:13:19,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1881100,razorpay
upi_base_0030,pay_base_0030,order_base_0030,820151617123,1422400,user_030@okaxis,2026-08-07T09:01:20,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1422400,razorpay
upi_base_0032,pay_base_0032,order_base_0032,372569912085,633200,user_032@oksbi,2026-08-07T18:37:08,CAPTURED,SUCCESS,true,NONE,,DETERMINED,633200,razorpay
upi_base_0033,pay_base_0033,order_base_0033,202946055043,1813300,user_033@okaxis,2026-08-07T23:26:31,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1813300,razorpay
upi_base_0034,pay_base_0034,order_base_0034,517318938760,1341700,user_034@okaxis,2026-08-08T04:12:31,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1341700,razorpay
upi_base_0037,pay_base_0037,order_base_0037,920600564299,632200,user_037@apl,2026-08-08T18:39:10,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0038,pay_base_0038,order_base_0038,188080452706,197300,user_038@okhdfcbank,2026-08-08T23:26:05,CAPTURED,SUCCESS,true,NONE,,DETERMINED,197300,razorpay
upi_base_0039,pay_base_0039,order_base_0039,373029676920,1959800,user_039@okaxis,2026-08-09T04:12:50,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1959800,razorpay
upi_base_0040,pay_base_0040,order_base_0040,387482374357,278600,user_040@oksbi,2026-08-09T09:02:14,CAPTURED,SUCCESS,true,NONE,,DETERMINED,278600,razorpay
upi_base_0041,pay_base_0041,order_base_0041,445561148277,2356800,user_041@oksbi,2026-08-09T13:49:07,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2356800,razorpay
upi_base_0042,pay_base_0042,order_base_0042,334237356171,1511700,user_042@okaxis,2026-08-09T18:40:49,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1511700,razorpay
upi_base_0044,pay_base_0044,order_base_0044,820726006289,526900,user_044@apl,2026-08-10T04:17:00,CAPTURED,SUCCESS,true,NONE,,DETERMINED,526900,razorpay
upi_base_0046,pay_base_0046,order_base_0046,410407371993,876600,user_046@okhdfcbank,2026-08-10T13:50:17,CAPTURED,SUCCESS,true,NONE,,DETERMINED,876600,razorpay
upi_base_0047,pay_base_0047,order_base_0047,376976135264,1133500,user_047@apl,2026-08-10T18:36:56,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1133500,razorpay
upi_base_0048,pay_base_0048,order_base_0048,245045852621,2088400,user_048@oksbi,2026-08-10T23:26:44,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2088400,razorpay
upi_base_0049,pay_base_0049,order_base_0049,182084873288,2438800,user_049@okaxis,2026-08-11T04:13:46,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2438800,razorpay
upi_base_0051,pay_base_0051,order_base_0051,848226581356,147000,user_051@oksbi,2026-08-11T13:50:37,CAPTURED,SUCCESS,true,NONE,,DETERMINED,147000,razorpay
upi_base_0052,pay_base_0052,order_base_0052,270722706393,346800,user_052@apl,2026-08-11T18:38:31,CAPTURED,SUCCESS,true,NONE,,DETERMINED,346800,razorpay
upi_base_0057,pay_base_0057,order_base_0057,950261314384,87500,user_057@okaxis,2026-08-12T18:38:52,CAPTURED,SUCCESS,true,NONE,,DETERMINED,87500,razorpay
upi_base_0058,pay_base_0058,order_base_0058,134098763897,2112000,user_058@oksbi,2026-08-12T23:25:29,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2112000,razorpay
upi_base_0059,pay_base_0059,order_base_0059,579303623884,595100,user_059@okaxis,2026-08-13T04:15:26,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0061,pay_base_0061,order_base_0061,691874457344,1899300,user_061@okaxis,2026-08-13T13:50:10,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1899300,razorpay
upi_base_0062,pay_base_0062,order_base_0062,827197730438,1423200,user_062@apl,2026-08-13T18:37:33,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1423200,razorpay
upi_base_0063,pay_base_0063,order_base_0063,425117034534,994000,user_063@paytm,2026-08-13T23:25:35,CAPTURED,SUCCESS,true,NONE,,DETERMINED,994000,razorpay
upi_base_0064,pay_base_0064,order_base_0064,725413874351,1387700,user_064@okhdfcbank,2026-08-14T04:15:04,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1387700,razorpay
upi_base_0066,pay_base_0066,order_base_0066,334830030878,1910400,user_066@paytm,2026-08-14T13:52:51,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1910400,razorpay
upi_base_0067,pay_base_0067,order_base_0067,200223870427,2421500,user_067@apl,2026-08-14T18:38:30,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2421500,razorpay
upi_base_0068,pay_base_0068,order_base_0068,772055593219,1027100,user_068@okaxis,2026-08-14T23:25:07,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1027100,razorpay
upi_base_0070,pay_base_0070,order_base_0070,567199758169,1319500,user_070@okaxis,2026-08-15T09:02:22,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1319500,razorpay
upi_base_0071,pay_base_0071,order_base_0071,247989376703,2290300,user_071@okaxis,2026-08-15T13:52:27,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2290300,razorpay
upi_base_0073,pay_base_0073,order_base_0073,925746940063,1805200,user_073@paytm,2026-08-15T23:26:36,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1805200,razorpay
upi_base_0074,pay_base_0074,order_base_0074,582215724207,2099400,user_074@okhdfcbank,2026-08-16T04:13:09,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2099400,razorpay
upi_base_0075,pay_base_0075,order_base_0075,263803069319,946200,user_075@okaxis,2026-08-16T09:02:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,946200,razorpay
upi_base_0076,pay_base_0076,order_base_0076,694126611586,2283900,user_076@paytm,2026-08-16T13:52:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2283900,razorpay
upi_base_0077,pay_base_0077,order_base_0077,734648396163,214000,user_077@okaxis,2026-08-16T18:39:44,CAPTURED,SUCCESS,true,NONE,,DETERMINED,214000,razorpay
upi_base_0080,pay_base_0080,order_base_0080,283498961791,904300,user_080@paytm,2026-08-17T09:04:29,CAPTURED,SUCCESS,true,NONE,,DETERMINED,904300,razorpay
upi_base_0081,pay_base_0081,order_base_0081,128617366055,2049000,user_081@apl,2026-08-17T13:49:12,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2049000,razorpay
upi_base_0082,pay_base_0082,order_base_0082,458110524275,1414400,user_082@oksbi,2026-08-17T18:38:18,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1414400,razorpay
upi_base_0083,pay_base_0083,order_base_0083,615747860109,1081000,user_083@paytm,2026-08-17T23:24:39,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1081000,razorpay
upi_base_0084,pay_base_0084,order_base_0084,145748937891,1777500,user_084@okaxis,2026-08-18T04:12:45,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0085,pay_base_0085,order_base_0085,620233157780,820200,user_085@okhdfcbank,2026-08-18T09:01:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,820200,razorpay
upi_base_0086,pay_base_0086,order_base_0086,768322220181,724200,user_086@okhdfcbank,2026-08-18T13:49:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,724200,razorpay
upi_base_0089,pay_base_0089,order_base_0089,855271258456,1950100,user_089@oksbi,2026-08-19T04:13:31,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1950100,razorpay
upi_base_0091,pay_base_0091,order_base_0091,572899688547,1667900,user_091@paytm,2026-08-19T13:51:35,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1667900,razorpay
upi_base_0093,pay_base_0093,order_base_0093,751679795363,895000,user_093@paytm,2026-08-19T23:26:47,CAPTURED,SUCCESS,true,NONE,,DETERMINED,895000,razorpay
upi_base_0095,pay_base_0095,order_base_0095,298964420838,1532700,user_095@okaxis,2026-08-20T09:04:39,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1532700,razorpay
upi_base_0097,pay_base_0097,order_base_0097,711983781912,43200,user_097@paytm,2026-08-20T18:38:33,CAPTURED,SUCCESS,true,NONE,,DETERMINED,43200,razorpay
upi_base_0098,pay_base_0098,order_base_0098,341781900773,1570000,user_098@okaxis,2026-08-20T23:27:57,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1570000,razorpay
upi_base_0099,pay_base_0099,order_base_0099,480237414389,807200,user_099@apl,2026-08-21T04:16:07,CAPTURED,SUCCESS,true,NONE,,DETERMINED,807200,razorpay
upi_base_0100,pay_base_0100,order_base_0100,354482841033,1813500,user_100@oksbi,2026-08-21T09:01:31,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1813500,razorpay
upi_base_0101,pay_base_0101,order_base_0101,337045863496,641000,user_101@okhdfcbank,2026-08-21T13:52:37,CAPTURED,SUCCESS,true,NONE,,DETERMINED,641000,razorpay
upi_base_0102,pay_base_0102,order_base_0102,211585443515,2384300,user_102@oksbi,2026-08-21T18:38:09,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2384300,razorpay
upi_base_0103,pay_base_0103,order_base_0103,401191380396,755400,user_103@apl,2026-08-21T23:24:53,CAPTURED,SUCCESS,true,NONE,,DETERMINED,755400,razorpay
upi_base_0104,pay_base_0104,order_base_0104,727117904706,1823200,user_104@paytm,2026-08-22T04:14:55,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0105,pay_base_0105,order_base_0105,226605882836,1548100,user_105@oksbi,2026-08-22T09:01:03,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1548100,razorpay
upi_base_0106,pay_base_0106,order_base_0106,989699029003,1621300,user_106@okhdfcbank,2026-08-22T13:51:05,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1621300,razorpay
upi_base_0107,pay_base_0107,order_base_0107,782001038753,823200,user_107@apl,2026-08-22T18:38:25,CAPTURED,SUCCESS,true,NONE,,DETERMINED,823200,razorpay
upi_base_0108,pay_base_0108,order_base_0108,572403587152,1722300,user_108@apl,2026-08-22T23:27:06,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1722300,razorpay
upi_base_0109,pay_base_0109,order_base_0109,334614800586,2044900,user_109@okhdfcbank,2026-08-23T04:14:45,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0110,pay_base_0110,order_base_0110,100672302490,2174000,user_110@okaxis,2026-08-23T09:03:59,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2174000,razorpay
upi_base_0111,pay_base_0111,order_base_0111,412273997497,2268900,user_111@oksbi,2026-08-23T13:52:22,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2268900,razorpay
upi_base_0112,pay_base_0112,order_base_0112,983308055200,2262400,user_112@apl,2026-08-23T18:38:11,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2262400,razorpay
upi_base_0113,pay_base_0113,order_base_0113,164731212366,386000,user_113@okhdfcbank,2026-08-23T23:25:54,CAPTURED,SUCCESS,true,NONE,,DETERMINED,386000,razorpay
upi_base_0114,pay_base_0114,order_base_0114,611635203107,1017900,user_114@paytm,2026-08-24T04:15:05,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1017900,razorpay
upi_base_0116,pay_base_0116,order_base_0116,126845125742,1969600,user_116@apl,2026-08-24T13:49:16,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1969600,razorpay
upi_base_0120,pay_base_0120,order_base_0120,552388062042,1150100,user_120@okhdfcbank,2026-08-25T09:04:43,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1150100,razorpay
upi_base_0122,pay_base_0122,order_base_0122,821559449515,298500,user_122@apl,2026-08-25T18:40:26,CAPTURED,SUCCESS,true,NONE,,DETERMINED,298500,razorpay
upi_base_0123,pay_base_0123,order_base_0123,159098709360,187600,user_123@paytm,2026-08-25T23:26:14,CAPTURED,SUCCESS,true,NONE,,DETERMINED,187600,razorpay
upi_base_0124,pay_base_0124,order_base_0124,130586292150,1809600,user_124@paytm,2026-08-26T04:14:32,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1809600,razorpay
upi_base_0125,pay_base_0125,order_base_0125,607293452733,528900,user_125@okaxis,2026-08-26T09:01:30,CAPTURED,SUCCESS,true,NONE,,DETERMINED,528900,razorpay
upi_base_0126,pay_base_0126,order_base_0126,368316140875,514500,user_126@oksbi,2026-08-26T13:52:23,CAPTURED,SUCCESS,true,NONE,,DETERMINED,514500,razorpay
upi_base_0127,pay_base_0127,order_base_0127,176725411465,483900,user_127@okhdfcbank,2026-08-26T18:38:51,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0128,pay_base_0128,order_base_0128,895783733945,1369600,user_128@okaxis,2026-08-26T23:27:02,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1369600,razorpay
upi_base_0129,pay_base_0129,order_base_0129,630594163379,1933200,user_129@paytm,2026-08-27T04:15:26,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1933200,razorpay
upi_base_0131,pay_base_0131,order_base_0131,917410343160,792500,user_131@okaxis,2026-08-27T13:52:32,CAPTURED,SUCCESS,true,NONE,,DETERMINED,792500,razorpay
upi_base_0132,pay_base_0132,order_base_0132,237597951504,1259200,user_132@okhdfcbank,2026-08-27T18:40:47,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1259200,razorpay
upi_base_0134,pay_base_0134,order_base_0134,615717460412,1507200,user_134@okhdfcbank,2026-08-28T04:14:45,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1507200,razorpay
upi_base_0135,pay_base_0135,order_base_0135,788554816658,2052200,user_135@apl,2026-08-28T09:04:39,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2052200,razorpay
upi_base_0136,pay_base_0136,order_base_0136,353392014891,1782800,user_136@oksbi,2026-08-28T13:49:16,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1782800,razorpay
upi_base_0138,pay_base_0138,order_base_0138,492102028955,2284100,user_138@okaxis,2026-08-28T23:27:41,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2284100,razorpay
upi_base_0139,pay_base_0139,order_base_0139,289708635239,487000,user_139@okhdfcbank,2026-08-29T04:13:10,CAPTURED,SUCCESS,true,NONE,,DETERMINED,487000,razorpay
upi_base_0140,pay_base_0140,order_base_0140,607803382689,1263500,user_140@okhdfcbank,2026-08-29T09:02:40,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1263500,razorpay
upi_base_0141,pay_base_0141,order_base_0141,699910770735,846600,user_141@oksbi,2026-08-29T13:49:50,CAPTURED,SUCCESS,true,NONE,,DETERMINED,846600,razorpay
upi_base_0143,pay_base_0143,order_base_0143,631946025298,2272000,user_143@paytm,2026-08-29T23:25:24,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2272000,razorpay
upi_base_0144,pay_base_0144,order_base_0144,825119489915,1259600,user_144@oksbi,2026-08-30T04:15:52,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1259600,razorpay
upi_base_0145,pay_base_0145,order_base_0145,769631000910,36500,user_145@okaxis,2026-08-30T09:04:44,CAPTURED,SUCCESS,true,NONE,,DETERMINED,36500,razorpay
upi_base_0147,pay_base_0147,order_base_0147,205777520189,633000,user_147@okhdfcbank,2026-08-30T18:36:50,CAPTURED,SUCCESS,true,NONE,,DETERMINED,633000,razorpay
upi_base_0148,pay_base_0148,order_base_0148,426029368922,1454400,user_148@okaxis,2026-08-30T23:27:17,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1454400,razorpay
upi_base_0149,pay_base_0149,order_base_0149,652035807486,1371500,user_149@oksbi,2026-08-31T04:14:49,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1371500,razorpay
upi_base_0150,pay_base_0150,order_base_0150,981923066620,549100,user_150@oksbi,2026-08-31T09:01:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,549100,razorpay
upi_scen_005_5712,pay_scen_005_1842,order_scen_005_7929,441881158100,350000,customer@okaxis,2026-08-15T09:00:00,CAPTURED,LATE_SUCCESS,true,NONE,,DETERMINED,350000,razorpay
upi_scen_006_5564,pay_scen_006_2882,order_scen_006_7022,347278876628,500000,payer@okhdfcbank,2026-08-18T09:00:00,FAILED,FAILED,true,SUCCESS,500000,DETERMINED,0,razorpay
