id,amount,currency,status,normalized_status,order_id,method,bank,vpa,fee,tax,net_amount,error_code,error_description,created_at,captured_at,settled,settlement_id,provider
pay_base_0139,487000,INR,captured,CAPTURED,order_base_0139,upi,PUNB,user_139@okhdfcbank,9740,1753,475507,,,2026-08-29T04:13:10,2026-08-29T04:13:54,true,setl_base_0002,razorpay
pay_base_0140,1263500,INR,captured,CAPTURED,order_base_0140,upi,KKBK,user_140@okhdfcbank,25270,4548,1233682,,,2026-08-29T09:02:40,2026-08-29T09:03:14,true,setl_base_0003,razorpay
pay_base_0141,846600,INR,captured,CAPTURED,order_base_0141,upi,UTIB,user_141@oksbi,16932,3047,826621,,,2026-08-29T13:49:50,2026-08-29T13:49:59,true,setl_base_0004,razorpay
pay_base_0142,1457400,INR,failed,FAILED,order_base_0142,netbanking,SBIN,,0,0,0,,,2026-08-29T18:40:07,,false,,razorpay
pay_base_0143,2272000,INR,captured,CAPTURED,order_base_0143,upi,ICIC,user_143@paytm,45440,8179,2218381,,,2026-08-29T23:25:24,2026-08-29T23:25:44,true,setl_base_0005,razorpay
pay_base_0144,1259600,INR,captured,CAPTURED,order_base_0144,upi,PUNB,user_144@oksbi,25192,4534,1229874,,,2026-08-30T04:15:52,2026-08-30T04:16:14,true,setl_base_0006,razorpay
pay_base_0145,36500,INR,captured,CAPTURED,order_base_0145,upi,PUNB,user_145@okaxis,730,131,35639,,,2026-08-30T09:04:44,2026-08-30T09:05:42,true,setl_base_0007,razorpay
pay_base_0146,947800,INR,captured,CAPTURED,order_base_0146,card,SBIN,,18956,3412,925432,,,2026-08-30T13:50:22,2026-08-30T13:51:07,true,setl_base_0008,razorpay
pay_base_0147,633000,INR,captured,CAPTURED,order_base_0147,upi,PUNB,user_147@okhdfcbank,12660,2278,618062,,,2026-08-30T18:36:50,2026-08-30T18:37:14,true,setl_base_0009,razorpay
pay_base_0148,1454400,INR,captured,CAPTURED,order_base_0148,upi,ICIC,user_148@okaxis,29088,5235,1420077,,,2026-08-30T23:27:17,2026-08-30T23:28:09,true,setl_base_0010,razorpay
pay_base_0149,1371500,INR,captured,CAPTURED,order_base_0149,upi,KKBK,user_149@oksbi,27430,4937,1339133,,,2026-08-31T04:14:49,2026-08-31T04:15:47,true,setl_base_0001,razorpay
pay_base_0150,549100,INR,captured,CAPTURED,order_base_0150,upi,UTIB,user_150@oksbi,10982,1976,536142,,,2026-08-31T09:01:28,2026-08-31T09:02:02,true,setl_base_0002,razorpay
pay_scen_001_3067,500000,INR,captured,CAPTURED,order_scen_001_2076,upi,,,10000,1800,488200,,,2026-08-03T09:05:00,2026-08-03T09:06:00,true,setl_scen_001_9984,razorpay
pay_scen_002_r_2624,800000,INR,captured,CAPTURED,order_scen_002_r_9282,upi,,,16000,2880,781120,,,2026-08-06T09:05:00,2026-08-06T09:06:00,true,setl_scen_002_8398,razorpay
pay_scen_002_d_2874,800000,INR,captured,CAPTURED,order_scen_002_d_8048,upi,,,16000,2880,781120,,,2026-08-06T09:10:00,2026-08-06T09:11:00,true,setl_scen_002_other_4743,razorpay
pay_scen_003_2557,1000000,INR,captured,CAPTURED,order_scen_003_7815,upi,,,20000,3600,976400,,,2026-08-09T09:00:00,2026-08-09T09:02:00,true,setl_scen_003_7992,razorpay
pay_scen_004_2398,1500000,INR,captured,CAPTURED,order_scen_004_2494,upi,,,30000,5400,1464600,,,2026-08-12T09:00:00,2026-08-12T09:02:00,true,setl_scen_004_2582,razorpay
pay_scen_005_1842,350000,INR,captured,CAPTURED,order_scen_005_7929,upi,,customer@okaxis,7000,1260,341740,,,2026-08-15T09:00:00,2026-08-15T09:27:00,true,setl_scen_005_6761,razorpay
pay_scen_006_2882,500000,INR,failed,FAILED,order_scen_006_7022,upi,,payer@okhdfcbank,0,0,0,BAD_REQUEST_ERROR,Transaction failed at bank switch,2026-08-18T09:00:00,,false,,razorpay
pay_scen_007_1474,2000000,INR,captured,CAPTURED,order_scen_007_5381,upi,,,40000,7200,1952800,,,2026-08-21T09:00:00,2026-08-21T09:01:00,true,setl_scen_007_3955,razorpay
pay_scen_008_3347,1200000,INR,captured,CAPTURED,order_scen_008_3972,upi,,,24000,4320,1171680,,,2026-08-24T09:00:00,2026-08-24T09:01:00,true,setl_scen_008_2140,razorpay
pay_scen_009_1_7163,900000,INR,captured,CAPTURED,order_scen_009_1_9691,upi,,,18000,3240,878760,,,2026-08-27T09:00:00,2026-08-27T09:01:00,true,setl_scen_009_6585,razorpay
pay_scen_009_2_7878,900000,INR,captured,CAPTURED,order_scen_009_2_4524,upi,,,18000,3240,878760,,,2026-08-27T09:00:00,2026-08-27T09:01:00,true,setl_scen_009_other_3578,razorpay
pay_scen_010_3579,3000000,INR,captured,CAPTURED,order_scen_010_3549,upi,,,60000,10800,2929200,,,2026-08-29T09:00:00,2026-08-29T09:01:00,true,setl_scen_010_1815,razorpay
